game_id,date,game_status,home_name,home_id,home_score,away_name,away_id,away_score,venue_full_name,season_id,game_type,is_postseason,month,day,year
291,2026-03-19 02:00:00+00:00,Final,Vancouver Goldeneyes,9,5,New York Sirens,4,2,Pacific Coliseum | Vancouver,8,,,3,19,2026
292,2026-03-19 23:00:00+00:00,Final,Montréal Victoire,3,4,Seattle Torrent,8,1,Place Bell | Laval,8,,,3,19,2026
293,2026-03-21 19:00:00+00:00,Final,Vancouver Goldeneyes,9,1,Minnesota Frost,2,3,Pacific Coliseum | Vancouver,8,,,3,21,2026
294,2026-03-21 20:00:00+00:00,Final,Boston Fleet,1,3,Seattle Torrent,8,0,Tsongas Center | Lowell,8,,,3,21,2026
295,2026-03-22 23:00:00+00:00,Final 1st OT,Ottawa Charge,5,2,Montréal Victoire,3,1,Canada Life Centre | Winnipeg,8,,,3,22,2026
296,2026-03-24 23:00:00+00:00,Final,Boston Fleet,1,2,Vancouver Goldeneyes,9,0,Tsongas Center | Lowell,8,,,3,24,2026
297,2026-03-25 23:00:00+00:00,Final,Minnesota Frost,2,0,Montréal Victoire,3,3,Grand Casino Arena | St. Paul,8,,,3,25,2026
298,2026-03-26 00:00:00+00:00,Final,Seattle Torrent,8,4,New York Sirens,4,1,Allstate Arena | Chicago,8,,,3,26,2026
299,2026-03-27 23:00:00+00:00,Final,Toronto Sceptres,6,0,Boston Fleet,1,4,Coca-Cola Coliseum | Toronto,8,,,3,27,2026
300,2026-03-28 17:00:00+00:00,Final,Montréal Victoire,3,3,New York Sirens,4,1,Little Caesars Arena | Detroit,8,,,3,28,2026
301,2026-03-29 17:00:00+00:00,Final,Toronto Sceptres,6,2,Vancouver Goldeneyes,9,3,Coca-Cola Coliseum | Toronto,8,,,3,29,2026
302,2026-03-29 20:00:00+00:00,Final,Minnesota Frost,2,2,Boston Fleet,1,4,Grand Casino Arena | St. Paul,8,,,3,29,2026
303,2026-03-29 23:00:00+00:00,Final,Seattle Torrent,8,0,Ottawa Charge,5,2,Climate Pledge Arena | Seattle,8,,,3,29,2026
304,2026-04-01 23:00:00+00:00,Final 1st OT,New York Sirens,4,4,Minnesota Frost,2,3,Prudential Center | Newark,8,,,4,1,2026
305,2026-04-01 23:00:00+00:00,Final,Montréal Victoire,3,3,Vancouver Goldeneyes,9,0,Place Bell | Laval,8,,,4,1,2026
306,2026-04-02 01:30:00+00:00,Final,Ottawa Charge,5,1,Toronto Sceptres,6,2,Scotiabank Saddledome | Calgary,8,,,4,2,2026
282,2026-04-03 23:00:00+00:00,Final,Ottawa Charge,5,0,Montréal Victoire,3,3,Canadian Tire Centre | Ottawa,8,,,4,3,2026
307,2026-04-04 18:00:00+00:00,Final,Minnesota Frost,2,6,Vancouver Goldeneyes,9,5,Grand Casino Arena | St. Paul,8,,,4,4,2026
308,2026-04-05 00:00:00+00:00,Final SO,New York Sirens,4,2,Seattle Torrent,8,1,Madison Square Garden | New York,8,,,4,5,2026
309,2026-04-07 23:00:00+00:00,Final,Montréal Victoire,3,4,Seattle Torrent,8,1,Place Bell | Laval,8,,,4,7,2026
310,2026-04-08 01:30:00+00:00,Final,Vancouver Goldeneyes,9,1,Boston Fleet,1,5,Rogers Place | Edmonton,8,,,4,8,2026
311,2026-04-08 23:00:00+00:00,Final,Ottawa Charge,5,3,Seattle Torrent,8,5,TD Place | Ottawa,8,,,4,8,2026
312,2026-04-11 17:00:00+00:00,Final,Minnesota Frost,2,4,New York Sirens,4,1,Grand Casino Arena | St. Paul,8,,,4,11,2026
313,2026-04-11 18:00:00+00:00,Final,Toronto Sceptres,6,0,Ottawa Charge,5,2,Coca-Cola Coliseum | Toronto,8,,,4,11,2026
314,2026-04-11 23:00:00+00:00,Final,Boston Fleet,1,0,Montréal Victoire,3,1,TD Garden | Boston,8,,,4,11,2026
315,2026-04-15 02:00:00+00:00,Final,Vancouver Goldeneyes,9,4,Seattle Torrent,8,1,Pacific Coliseum | Vancouver,8,,,4,15,2026
316,2026-04-15 23:00:00+00:00,Final,New York Sirens,4,3,Toronto Sceptres,6,2,Prudential Center | Newark,8,,,4,15,2026
317,2026-04-15 23:00:00+00:00,Final,Boston Fleet,1,3,Minnesota Frost,2,2,Tsongas Center | Lowell,8,,,4,15,2026
318,2026-04-17 23:00:00+00:00,Final 1st OT,Montréal Victoire,3,3,Boston Fleet,1,2,Place Bell | Laval,8,,,4,17,2026
319,2026-04-18 18:00:00+00:00,Final,Ottawa Charge,5,5,New York Sirens,4,1,TD Place | Ottawa,8,,,4,18,2026
